#t	#1	#2	#3	#4	#5	#6	#7
784.0	0.43077573683909653	0.0	-0.22295927495849105	0.01610579586774389	0.00017642423554204217	-0.03923584556336761	0.006122633692581813
785.0	0.4308387184146902	0.0	-0.2231433091271097	0.016119387046934677	0.00017676047854517574	-0.03926542022203687	0.0061282290008389615
786.0	0.4309016403743221	0.0	-0.22332713450399871	0.016132963144189407	0.00017709635643122458	-0.03929496028096585	0.00613381814098022
787.0	0.43096450156122545	0.0	-0.22351075129682288	0.01614652417171214	0.00017743186973460113	-0.03932446577814096	0.006139401118300643
788.0	0.43102730083722063	0.0	-0.22369415971207138	0.016160070141549614	0.00017776701899174408	-0.039353936751375586	0.006144977938006045
789.0	0.43109003708443505	0.0	-0.22387735995513336	0.016173601065601964	0.0001781018047407086	-0.039383373238324124	0.0061505486052170055
790.0	0.4311527092069429	0.0	-0.22406035223037327	0.016187116955633428	0.00017843622752076392	-0.03941277527649577	0.006156113124972944
791.0	0.4312153161323224	0.0	-0.2242431367412057	0.016200617823283026	0.00017877028787199802	-0.03944214290326814	0.006161671502236223
792.0	0.4312778568131314	0.0	-0.22442571369016956	0.016214103680075156	0.00017910398633493038	-0.039471476155900624	0.006167223741896292
793.0	0.4313403302282995	0.0	-0.22460808327900178	0.016227574537430157	0.0001794373234501333	-0.03950077507154749	0.0061727698487738635
794.0	0.4314027353844364	0.0	-0.22479024570871003	0.016241030406674725	0.00017977029975786216	-0.03953003968727072	0.006178309827625096
795.0	0.43146507131705697	0.0	-0.22497220117964453	0.01625447129905226	0.0001801029157976949	-0.03955927004005255	0.006183843683145793
796.0	0.43152733709172153	0.0	-0.22515394989156878	0.01626789722573307	0.0001804351721081818	-0.0395884661668077	0.006189371419975605
797.0	0.43158953180509285	0.0	-0.2253354920437294	0.01628130819782444	0.0001807670692265054	-0.039617628104395314	0.006194893042702219
798.0	0.43165165458590876	0.0	-0.22551682783492435	0.01629470422638051	0.00018109860768815073	-0.03964675588963051	0.006200408555865542
799.0	0.43171370459587166	0.0	-0.22569795746357013	0.016308085322412052	0.00018142978802658714	-0.039675849559295644	0.006205917963961853
800.0	0.43177568103045466	0.0	-0.2258788811277673	0.01632145149689597	0.000181760610772961	-0.0397049091501512	0.006211421271447937
801.0	0.4318375831196256	0.0	-0.22605959902536488	0.016334802760784695	0.00018209107645580043	-0.039733934698946295	0.006216918482745177
802.0	0.43189941012848904	0.0	-0.22624011135402258	0.01634813912501528	0.00018242118560073126	-0.03976292624242882	0.006222409602243605
803.0	0.43196116135784773	0.0	-0.22642041831127185	0.016361460600518345	0.0001827509387302057	-0.03979188381735517	0.006227894634305902
804.0	0.4320228361446841	0.0	-0.22660052009457513	0.016374767198226746	0.00018308033636324337	-0.03982080746049967	0.006233373583271355
805.0	0.4320844338625632	0.0	-0.22678041690138295	0.01638805892908401	0.00018340937901518406	-0.03984969720866348	0.006238846453459732
806.0	0.4321459539219579	0.0	-0.22696010892918966	0.01640133580405253	0.0001837380671974539	-0.03987855309868316	0.006244313249175106
807.0	0.4322073957704987	0.0	-0.22713959637558678	0.01641459783412146	0.00018406640141734385	-0.039907375167438856	0.006249773974709609
808.0	0.4322687588931479	0.0	-0.22731887943831486	0.016427845030314407	0.00018439438217780137	-0.03993616345186198	0.006255228634347096
809.0	0.4323300428123016	0.0	-0.22749795831531286	0.016441077403696772	0.0001847220099772344	-0.03996491798894257	0.006260677232366737
810.0	0.43239124708781973	0.0	-0.22767683320476576	0.01645429496538285	0.00018504928530932888	-0.039993638815736136	0.006266119773046516
811.0	0.432452371316987	0.0	-0.2278555043051501	0.016467497726542636	0.000185376208662879	-0.04002232596937019	0.006271556260666649
812.0	0.4325134151344051	0.0	-0.22803397181527713	0.01648068569840832	0.00018570278052163018	-0.04005097948705026	0.006276986699512892
813.0	0.4325743782118201	0.0	-0.2282122359343342	0.01649385889228049	0.00018602900136413525	-0.040079599406065515	0.006282411093879764
814.0	0.4326352602578849	0.0	-0.2283902968619237	0.016507017319534037	0.00018635487166362337	-0.040108185763793984	0.006287829448073659
815.0	0.43269606101786057	0.0	-0.22856815479809986	0.01652016099162375	0.00018668039188788187	-0.04013673859770736	0.0062932417664158585
